FOSSIL,AFFINITIES,Age Max,Age Min,Period,Region,Locality,FORMATION,Structure,Specimen,Collection,REFERENCE
Coniopteris_margaretae,Cyatheales,170,168,Bajocian,UK,Cloughton Wyke “quinqueloba” bed,Cloughton Fm.,Spores,"v.32264 $1-2 (holotype), v.32264, v.32267, v.35750, S.2579 (Yor-50)",British Museum (Natural History),vanKonijnenburg-1989
Coniopteris_murrayana,Cyatheales,170,168,Bajocian,UK,"Haiburn Wyke, Goathland, Beast Cliff, Hawsker, Hasty Bank, Cayton Bay “Gristhorpe bed”",Saltwick & Cloughton Fm.,Spores,"v.32063A $1, v.32066A $1, v.32078A $1, v.32063, v.32066, v.32077-8, v.35749, v.42411, v.60963-4, S.1200 (was Yor-7)",British Museum (Natural History),vanKonijnenburg-1989
Coniopteris_simplex,Cyatheales,170,168,Bajocian,UK,"Cloughton Wyke “quinqueloba” bed, Haiburn Wyke “Zamites bed”",Saltwick & Cloughton Fm.,Spores,"v.29235 $1, v.29232, v.29245, v.32021-4, v.32026, v.32029 (Yor-4 (from s.1187), Yor-84 (s.6395), Yor-85 (s.6396)",British Museum (Natural History),vanKonijnenburg-1989
Coniopteris_spA,Cyatheales,201.3,174.1,Lower Jurassic,Antartica,Hope Bay,,Fertile foliage,5622B,,Rees_Cleal-2004
Culcita_emberi,Culcitaceae,15.97,13.82,Middle Miocene,North America,Clarkia Beds,Emerald Creek locality (Univerdity of Idaho P-37),"Fertile foliage, sporangia, spores",UF 18630-61360 (holotype),"PAleobotanical Collection of the Florida Museum of Natural History, University of Florida",Pinson_etal-2018
Cyathea_colombiensis,Cyathea,3.6,2.5,Tertiary (Pliocene),Colombia,Colombia,"Palmas Member, Mesa Fm.",Fertile foliage,Coll. Boureau 3795,,Pons-1965
Cyathea_cranhamii,Cyatheaceae,129,125,Barremian,British Columbia,"Apple Bay, Vancouver Island",Longarm Fm. equivalents,Sori,P13021 Hbot b (holotype),University of Alberta Paleobotanical Collections (UAPC-ALTA),Smith_etal-2003
Cyathea_cyathifolia,Cyatheaceae,129,113,Late Barremian-Early Aptian,Patagonia,"Estancia Bajo Grande, Santa Cruz",Baquero Fm.,Fertile foliage,"BAPb 11479; BA Pb Pm 5135 coord: 34/95, BA Pb MEB 60 ","Museo Argentino de Ciencias Naturales “Bernardino R. Rivadavia”, División Paleobotánica",VillardeSoane-1996
Cyathea_divertens,Cyathea,2.6,0.01,Pleistocene,Asutralia,Lynch'Crater,Subzone L7iii (6430-6130 cm),Spores,,Palaeontology and Palynology Laboratory,Kershaw_etal-2007
Cyathea_fossilis,Cyathea,99.6,88.6,Cenomanian-Turonian,Russia,"Kem River, 2 km below the mouth of B. Belaya River",,Spores,3СФАН СССР No. 4/2,"Mining-Geolical Institute of Western Siberia, Academy os Sciences, USSR (?)",Chlonova_1960
